,ticker,Type,Value
0,GOOG,two_hundred_day_average,2449.3203
1,NKE,two_hundred_day_average,146.09644
2,MSFT,two_hundred_day_average,262.86514
3,KO,two_hundred_day_average,54.398
4,FB,two_hundred_day_average,326.0527
5,GME,two_hundred_day_average,185.10092
6,CRM,two_hundred_day_average,234.57135
7,DIS,two_hundred_day_average,181.65622
8,OTEX,two_hundred_day_average,49.558857
9,F,two_hundred_day_average,13.241
10,SNAP,two_hundred_day_average,63.85536
11,MCD,two_hundred_day_average,231.265
12,VTI,two_hundred_day_average,218.5295
13,AAPL,two_hundred_day_average,134.58914
14,NFLX,two_hundred_day_average,523.49115
15,TSLA,two_hundred_day_average,667.78186
16,GOOG,previous_close,2898.27
17,NKE,previous_close,163.34
18,MSFT,previous_close,297.25
19,KO,previous_close,55.86
20,FB,previous_close,378.0
21,GME,previous_close,199.18
22,CRM,previous_close,260.74
23,DIS,previous_close,185.91
24,OTEX,previous_close,53.69
25,F,previous_close,12.76
26,SNAP,previous_close,74.62
27,MCD,previous_close,238.61
28,VTI,previous_close,231.92
29,AAPL,previous_close,154.07
30,NFLX,previous_close,597.54
31,TSLA,previous_close,754.86
32,GOOG,fifty_day_average,2799.726
33,NKE,fifty_day_average,167.88515
34,MSFT,fifty_day_average,294.15057
35,KO,fifty_day_average,56.575714
36,FB,fifty_day_average,366.696
37,GME,fifty_day_average,177.99944
38,CRM,fifty_day_average,253.68742
39,DIS,fifty_day_average,178.61057
40,OTEX,fifty_day_average,53.12057
41,F,fifty_day_average,13.370857
42,SNAP,fifty_day_average,74.68771
43,MCD,fifty_day_average,238.72629
44,VTI,fifty_day_average,229.782
45,AAPL,fifty_day_average,149.02885
46,NFLX,fifty_day_average,542.3923
47,TSLA,fifty_day_average,704.8751
