industry,firms,trailing_pe,trailing_ps,yfinance_industry
Advertising,61,45.38,1.16,Advertising Agencies
Aerospace/Defense,72,107.38,1.61,Aerospace & Defense
Air Transport,17,13.47,0.94,Airlines
Air Transport,17,13.47,0.94,Airports & Air Services
Apparel,51,22.76,1.60,Apparel Retail
Apparel,51,22.76,1.60,Footwear & Accessories
Auto & Truck,19,261.56,2.71,Auto & Truck Dealerships
Auto Parts,52,55.56,1.37,Auto Parts
Bank (Money Center),7,14.86,3.13,Banks—Diversified
Bank (Money Center),7,14.86,3.13,Credit Services
Banks (Regional),598,15.39,3.74,Banks—Regional
Beverage (Alcoholic),23,32.39,4.37,Beverages—Brewers
Beverage (Alcoholic),23,32.39,4.37,Beverages—Wineries & Distilleries
Beverage (Soft),41,116.72,4.32,Beverages—Non-Alcoholic
Broadcasting,29,12.42,1.03,Broadcasting
Brokerage & Investment Banking,39,82.20,2.05,Capital Markets
Building Materials,42,25.63,1.68,Building Materials
Business & Consumer Services,169,44.22,2.51,Consulting Services
Business & Consumer Services,169,44.22,2.51,Specialty Business Services
Business & Consumer Services,169,44.22,2.51,Security & Protection Services
Business & Consumer Services,169,44.22,2.51,Staffing & Employment Services
Cable TV,13,63.68,2.60,
Chemical (Basic),48,45.86,1.05,Chemicals
Chemical (Diversified),5,17.19,1.18,
Chemical (Specialty),97,58.86,2.73,Specialty Chemicals
Chemical (Specialty),97,58.86,2.73,Uranium
Coal & Related Energy,29,37.68,0.64,Thermal Coal
Computer Services,116,27.86,1.11,Computer Hardware
Computers/Peripherals,52,27.25,4.83,Computer Hardware
Construction Supplies,46,108.40,1.80,Farm & Heavy Construction Machinery
Diversified,29,27.98,2.29,Conglomerates
Drugs (Biotechnology),547,480.18,8.09,Biotechnology
Drugs (Pharmaceutical),287,34.54,4.91,Drug Manufacturers—Specialty & Generic
Drugs (Pharmaceutical),287,34.54,4.91,Drug Manufacturers—General
Education,38,26.63,2.48,Education & Training Services
Electrical Equipment,122,106.02,3.33,Electrical Equipment & Parts
Electronics (Consumer & Office),22,14.62,1.36,Electronic Components
Electronics (Consumer & Office),22,14.62,1.36,Consumer Electronics
Electronics (General),157,69.76,2.39,Electronics & Computer Distribution
Engineering/Construction,61,34.52,0.77,Engineering & Construction
Entertainment,118,1157.13,6.24,Entertainment
Environmental & Waste Services,86,549.58,2.72,Pollution & Treatment Controls
Environmental & Waste Services,86,549.58,2.72,Waste Management
Farming/Agriculture,32,23.82,0.97,Farm & Heavy Construction Machinery
Financial Svcs. (Non-bank & Insurance),235,21.86,3.26,Financial Data & Stock Exchanges
